  ,Ingresos ,Intereses y descuentos ganados,Intereses causados,MARGEN NETO DE INTERESES,Comisiones ganadas,Ingresos por servicios,Comisiones causadas,Utilidades financieras,Pérdidas financieras,MARGEN BRUTO FINANCIERO,Provisiones,MARGEN NETO FINANCIERO,Gastos de operación,MARGEN DE INTERMEDIACIÓN,Otros ingresos operacionales,Otras pérdidas operacionales,MARGEN OPERACIONAL,Otros ingresos  ,Otros gastos y pérdidas,GANANCIA ANTES DE IMPUESTOS,Impuestos y participación a empleados,GANANCIA O PÉRDIDA DEL EJERCICIO
15 DE ABRIL LTDA,13311454.95,10756423.83,5673237.15,5083186.68,0,293263.87,85522.86,167064.51,52635.3,5405356.899999999,1106976.03,4298380.869999999,5797437.05,-1499056.1800000006,94841.02,1000,-1405215.1600000006,1999861.72,499519.91,95126.64999999938,34483.41,60643.23999999938
23 DE JULIO LIMITADA,48247840.25,41868717.33,25450929.49,16417787.84,159313.57,850728.6,33104.38,766872.97,14438.37,18147160.23,6199657.3,11947502.93,15605271.44,-3657768.51,17799.82,0,-3639968.69,4584407.96,102095.5,842343.77,305349.62,536994.15
29 DE OCTUBRE LTDA,120151803.35,105478701.17,63409625.29,42069075.88,5582782.84,2365264.02,789822,1567433.88,69495.33,50725239.29000001,23598440.15,27126799.140000008,28536630.96,-1409831.8199999928,1428510.11,0,18678.290000007255,3729111.33,2970981.57,776808.0500000077,281592.94,495215.1100000077
9 DE OCTUBRE LTDA,13563505.43,12615572.14,6952973.27,5662598.870000001,0,95000.89,0,158905.91,0,5916505.670000001,2133865.34,3782640.330000001,4235504.97,-452864.63999999873,132168.05,0,-320696.58999999875,561858.44,98676.75,142485.1000000012,60767.71,81717.3900000012
ALFONSO JARAMILLO LEON CAJA,16380480.2,15252591.81,9279169.65,5973422.16,332923.64,343697.42,0,220470.56,0,6870513.779999999,918870.85,5951642.93,5926525.04,25117.889999999665,7415.34,196.16,32337.069999999665,223381.43,313.37,255405.12999999966,92584.36,162820.76999999967
ALIANZA DEL VALLE LIMITADA,158768336.85,123387961.23,72652155.15,50735806.08,16350390.72,1849553.66,240606.81,1701237.01,0,70396380.66,42134190.55,28262190.11,29881655.02,-1619464.9100000001,1537912.06,0,-81552.8500000001,13941282.17,8578894.21,5280835.109999999,1914302.72,3366532.3899999997
AMBATO LTDA,39891380.8,37275912.48,23929267.1,13346645.379999995,12631.96,731250.71,9215.28,547954.96,0,14629267.729999997,3116430.69,11512837.039999997,11425010.89,87826.14999999665,14270.98,0,102097.12999999664,1309359.71,300553.8,1110903.0399999965,402702.35,708200.6899999966
ANDALUCIA LIMITADA,65291508.91,60739277.77,37908016.29,22831261.480000004,1030.48,1289829.18,0,932667.65,2418.27,25052370.520000003,6315157.56,18737212.960000005,17985986.66,751226.3000000045,0,0,751226.3000000045,2328703.83,2682894.85,397035.28000000445,0.05,397035.23000000446
ATUNTAQUI LIMITADA,48450571.17,43439070.29,26214039.77,17225030.52,7200.7,575000.58,6900,678591.06,83127.46,18395795.399999995,7950793.5,10445001.899999995,12414460.28,-1969458.3800000045,39259.72,5440.23,-1935638.8900000046,3711448.82,213873.86,1561936.0699999952,566201.82,995734.2499999952
CALCETA LTDA,12372768.84,10269751.41,5106663.65,5163087.76,60.35,232799.67,6900,123711.9,0,5512759.68,1519866.6,3992893.0799999996,5463382.78,-1470489.7000000007,13237.42,0,-1457252.2800000007,1733208.09,248646.74,27309.069999999367,0,27309.069999999367
CHIBULEO LIMITADA,55342699.94,49654057.75,30643562.56,19010495.19,1210655.94,1403000.35,32782.03,0,0,21591369.450000003,7109115.39,14482254.060000002,16242175.13,-1759921.0699999984,15137.41,0,-1744783.6599999985,3059848.49,1258004.99,57059.84000000171,33830.94,23228.90000000171
CHONE LTDA,16882463.12,15289528.99,6283584.09,9005944.9,49761.44,381464.51,6900,161526.72,0,9591797.57,1806553.1,7785244.470000001,6195101.38,1590143.0900000008,8828.46,0,1598971.5500000007,991353,90764.74,2499559.8100000005,906090.45,1593469.3600000006
COMERCIO LTDA,17002521.08,15144183.42,8034958.44,7109224.9799999995,0,403794.33,0,208480.93,0,7721500.239999999,1462496.9,6259003.34,7128957.38,-869954.04,419907.99,0,-450046.05000000005,826154.41,2412.08,373696.27999999997,135464.9,238231.37999999998
